"Author_name","PC","PY_start","PY_end","Pub_period","Author_count_avg","PC_annu","PY_first_start","PY_first_end","First_period","PC_first","PC_first_annu","Author_index","Author_color","OC","PY_off_start","PY_off_end","Off_period","PC_off","PC_off_annu","Family_degree_out","Family_degree_in","Family_index","Family_size","AG","PY_col_in_start","PY_col_in_end","Col_in_period","PC_col_in","PC_col_in_annu","R_PC_col_in_PC","R_PC_col_in_PC_annu","PY_col_out_start","PY_col_out_end","Col_out_period","PC_col_out","PC_col_out_annu","R_PC_col_out_PC_annu","R_PC_col_out_PC","PC_col_tot","degree_all","degree_out","degree_in","R_deg_in_out","PCxOCxCC","PCxOCxCC_norm"
"PITTENDRIGH CS",4,1960,1977,18,2,0.222222222222222,1970,1987,18,4,0.222222222222222,1,"#E16B9D",2,1960,1977,18,2,0.111111111111111,2,0,1,4,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WAHLSTROEM G",3,1964,1964,1,1,3,NA,NA,0,0,0,-2,"#9EA2D3",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"JOECHLE W",1,1964,1964,1,1,1,NA,NA,0,0,0,3,"#4A8403",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"FARNER DS",1,1964,1964,1,1,1,NA,NA,0,0,0,-4,"#798AAA",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"REIMANN HA",3,1964,1975,12,1,0.25,NA,NA,0,0,0,5,"#384384",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BIANCHI DE",1,1964,1964,1,1,1,NA,NA,0,0,0,-6,"#F26B07",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BERLINER MD",1,1964,1964,1,2,1,1966,1966,1,1,1,7,"#570771",1,1964,1964,1,1,1,1,0,2,2,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"THOR DH",1,1964,1964,1,2,1,NA,NA,0,0,0,-8,"#654162",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HARKER JE",2,1965,1974,10,1,0.2,NA,NA,0,0,0,9,"#E7DE14",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"STRUGHOLD H",1,1965,1965,1,1,1,NA,NA,0,0,0,-10,"#A74CB3",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BROWN FA JR",4,1965,1978,14,1,0.285714285714286,NA,NA,0,0,0,11,"#BDC4EE",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"LOWRY RJ",1,1965,1965,1,3,1,NA,NA,0,0,0,-12,"#DC2A56",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ESKIN A",11,1966,2008,43,2.90909090909091,0.255813953488372,1982,1982,1,1,1,13,"#EB1B15",3,1966,2008,43,7,0.162790697674419,3,0,3,27,1,NA,NA,0,0,0,0,0,2002,2006,5,4,0.8,3.12727272727273,0.363636363636364,4,2,2,0,0,66,0.000303968166242953
"ADKISSON PL",1,1966,1966,1,1,1,NA,NA,0,0,0,-14,"#E8F6FE",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WOLFSON A",1,1966,1966,1,1,1,NA,NA,0,0,0,15,"#CB0F73",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MÁLEK J",1,1966,1966,1,1,1,NA,NA,0,0,0,-16,"#9B566C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"EVANS KJ",1,1966,1966,1,1,1,NA,NA,0,0,0,17,"#C5A39A",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"NEURATH PW",1,1966,1966,1,2,1,1964,1964,1,1,1,-18,"#5EA103",0,1966,1966,1,1,1,0,1,2,1,2,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WOODWARD DO",1,1966,1966,1,3,1,NA,NA,0,0,0,19,"#B6A764",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"FELDMAN JF",14,1967,2001,35,2.28571428571429,0.4,1973,1978,6,4,0.666666666666667,-20,"#DE425C",3,1981,1988,8,5,0.625,3,0,4,16,1,2001,2001,1,1,1,0.0714285714285714,2.5,1981,1981,1,1,1,2.5,0.0714285714285714,2,2,1,1,1,84,0.000386868575218304
"ENRIGHT JT",2,1967,1980,14,1,0.142857142857143,NA,NA,0,0,0,21,"#F32AA1",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"RICHTER CP",5,1967,1978,12,1,0.416666666666667,NA,NA,0,0,0,-22,"#480E62",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"PAVLIDIS T",4,1967,1978,12,1,0.333333333333333,NA,NA,0,0,0,23,"#8B9B8E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"TRUCCO E",1,1967,1967,1,2,1,NA,NA,0,0,0,-24,"#97C483",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BRAHMACHARY RL",1,1967,1967,1,1,1,NA,NA,0,0,0,25,"#ACDF47",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BREATHNACH CS",1,1967,1967,1,1,1,NA,NA,0,0,0,-26,"#2FD69C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"KELLER EF",1,1967,1967,1,1,1,NA,NA,0,0,0,27,"#3DFFD0",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HOFFLER GW",1,1967,1967,1,1,1,NA,NA,0,0,0,-28,"#657DBC",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MCCLUSKEY ES",1,1967,1967,1,1,1,NA,NA,0,0,0,29,"#B6838C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ASCHOFF J",3,1967,1995,29,1,0.103448275862069,NA,NA,0,0,0,-30,"#E3ABDA",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HEUSNER AA",1,1967,1967,1,2,1,NA,NA,0,0,0,31,"#4F329C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"CARD DH",1,1967,1967,1,2,1,NA,NA,0,0,0,-32,"#7772D5",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MENAKER M",42,1968,2013,46,3.19047619047619,0.91304347826087,1966,1983,18,3,0.166666666666667,33,"#754E21",10,1970,2013,44,22,0.5,10,1,3,24,2,1979,2014,36,15,0.416666666666667,0.357142857142857,0.456349206349206,1972,2009,38,13,0.342105263157895,0.37468671679198,0.30952380952381,28,23,13,10,0.769230769230769,9660,0.044489886150105
"HALABAN R",1,1968,1968,1,1,1,NA,NA,0,0,0,-34,"#29D2AC",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WILKINS MB",1,1968,1968,1,1,1,NA,NA,0,0,0,35,"#5B726E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
